controller,steps,charge_time_min,final_soc,target_soc,time_to_80_soc_min,time_to_90_soc_min,peak_pack_voltage_v,peak_pack_temperature_c,peak_voltage_imbalance_mv,mean_charge_current_a,peak_charge_current_a,rms_charge_current_a,charge_throughput_ah,energy_in_kwh,safety_event_count,safety_event_timesteps
cccv,120,13.40600000001723,0.27463501852344924,0.8,,,84.77954029935654,10.083673920347222,124.05519672134702,0.838959161309386,1.639571216509953,1.1705307862529377,0.18592504668320692,0.015640570964203973,745,61
mpc,120,13.40600000001723,0.21143827356443218,0.8,,,81.40306314969695,10.080366086776962,82.07036842309101,0.12752220572855189,1.093047477673302,0.2203107624032441,0.028238312290164755,0.0022630187265964452,0,0
