controller,steps,charge_time_min,final_soc,target_soc,time_to_80_soc_min,time_to_90_soc_min,peak_pack_voltage_v,peak_pack_temperature_c,peak_voltage_imbalance_mv,mean_charge_current_a,peak_charge_current_a,rms_charge_current_a,charge_throughput_ah,energy_in_kwh,safety_event_count,safety_event_timesteps
cccv,271,22.583333333333332,0.8002493202122513,0.8,22.583333333333332,,65.3885187202446,31.879277875634187,126.51718543740343,3.9837433366828465,5.0,4.315329441719152,1.495443672557016,0.09101473887493562,56,56
mpc,1097,91.41666666666667,0.8023170884411044,0.8,91.41666666666667,,66.57966775706737,31.825948554508656,97.46883657808247,1.011850501367365,5.0,1.9734385314457896,1.5370370370370368,0.09322263600589972,0,0
